territory_code,location_names
118,"Brohman, Chase, Custer, Deford, Falmouth, Grindstone City, Hersey, Idlewild, Irons, Saint Helen, Tustin"
119,"Grosse Pointe, Hazel Park"
120,Grosse Pointe Farms
121,Grosse Pointe Park
122,"Brant, Grosse Pointe Shores"
123,"Gwinn, Little Lake, Mulliken, Ontonagon, Ovid, Republic, Saranac, White Pine"
124,Hamburg
125,"Beaver Island, Coloma, Covert, Hamburg Twp, Hartford, Riverside, Watervliet"
126,"Hamtramck, North Star, Tower"
127,"Deerton, Dollar Bay, Hancock"
128,Harper Woods
129,"Harrison Township, Roseville"
130,"Grawn, Harvey, Paw Paw"
131,"Breedsville, Burr Oak, Clare, Coldwater, Colon, Fowler, Fulton, Grand Junction, Grand Marais, Henderson, Lacota, Leonidas, Sunfield"
132,"Cedar Springs, Highland"
133,Highland Park
134,"Cohoctah, Highland Twp"
135,"East Leroy, Haslett, Houghton, Negaunee, Palmer"
136,"Eureka, Hudson, Litchfield, Pewamo, Quincy, Saint Johns, Tekonsha"
137,Huron Twp
138,"Clawson, Independence"
139,"Independence Township, Sparta"
140,"Independence Twp, Royal Oak"
141,"Interlochen, Jasper, Palmyra"
142,"Ashley, Brooklyn, Iron Mountain, Norvell, Pompeii, Waldron"
143,"Fruitport, Holland, Kalamazoo, Macatawa"
144,Keego Harbor
145,"Kenton, Norway, Pelkie, Sagola, Sidnaw, Spalding, Sumner"
146,Kentwood
147,"Kimball, Saint Clair Shores"
148,"Allegan, Chelsea, Kincheloe, Manchester, Mendon, Pinconning, Pullman, South Boardman"
149,"Bronson, Kingsford, Rogers City, Union City"
150,"East Jordan, Farwell, Greenville, Lake City, Mc Bain"
151,"Addison, Atlanta, Chesaning, Fairview, Frontier, Glen Arbor, Hillsdale, Lake Isabella, Menominee, North Adams, Sebewaing"
152,"Columbiaville, Fairgrove, Lake Nepessing"
153,"Davison, Lake Orion, New Hudson, Oxford"
154,"Lakewood Club, Traverse City"
155,"Inkster, Lathrup Village, Taylor, Warren"
156,Lenox
