,lowest effect,middle low,median,middle high,highest effect,Insurer
Black,6.766,10.453999999999999,9.415999999999999,15.095,58.269000000000005,Auto Club
White,24.689,25.507,23.474,19.698,6.630999999999999,Auto Club
Total,21.820999999999998,23.657,21.211,18.631,14.680000000000001,Auto Club
