geo_id,geo_name,tot_pop,white_pct,black_pct,white_tot,black_tot,generic_location_based_premium,location_effect,is_in_detroit
26015010401,Census Tract 104.01,3410.0,0.92,0.007,3138.0,25.0,6679.0,0.9,False
26015010402,Census Tract 104.02,5284.0,0.904,0.005,4779.0,28.0,6963.0,0.94,False
26015010500,Census Tract 105,3345.0,0.946,0.005,3166.0,18.0,6047.0,0.81,False
26015010600,Census Tract 106,6603.0,0.95,0.017,6276.0,111.0,6975.0,0.94,False
26015010700,Census Tract 107,4681.0,0.907,0.003,4245.0,12.0,6986.0,0.94,False
26015010800,Census Tract 108,3520.0,0.938,0.004,3301.0,15.0,6991.0,0.94,False
26015011300,Census Tract 113,8476.0,0.936,0.0,7932.0,3.0,6991.0,0.94,False
26015011400,Census Tract 114,6208.0,0.934,0.002,5801.0,11.0,6991.0,0.94,False
26017280300,Census Tract 2803,1263.0,0.861,0.069,1087.0,87.0,7785.0,1.05,False
26017280400,Census Tract 2804,2418.0,0.774,0.015,1872.0,36.0,7785.0,1.05,False
26017280500,Census Tract 2805,3092.0,0.905,0.003,2798.0,9.0,7785.0,1.05,False
26017280600,Census Tract 2806,2755.0,0.747,0.053,2059.0,145.0,7785.0,1.05,False
26017280700,Census Tract 2807,3113.0,0.784,0.059,2441.0,185.0,7785.0,1.05,False
26017280800,Census Tract 2808,3594.0,0.833,0.009,2995.0,34.0,7785.0,1.05,False
26017280900,Census Tract 2809,2897.0,0.701,0.0,2031.0,0.0,7741.0,1.04,False
26017281000,Census Tract 2810,3723.0,0.795,0.026,2960.0,97.0,7785.0,1.05,False
26017281300,Census Tract 2813,3005.0,0.885,0.021,2660.0,64.0,7785.0,1.05,False
26017285100,Census Tract 2851,3372.0,0.89,0.0,3002.0,0.0,7785.0,1.05,False
26017285201,Census Tract 2852.01,5683.0,0.882,0.014,5014.0,80.0,7786.0,1.05,False
26017285202,Census Tract 2852.02,3976.0,0.916,0.003,3642.0,11.0,7785.0,1.05,False
26017285300,Census Tract 2853,4744.0,0.948,0.006,4499.0,30.0,7770.0,1.05,False
26017285400,Census Tract 2854,3669.0,0.929,0.005,3408.0,20.0,7639.0,1.03,False
26017285500,Census Tract 2855,6786.0,0.907,0.0,6158.0,0.0,7766.0,1.05,False
26017285600,Census Tract 2856,7075.0,0.951,0.006,6728.0,39.0,7728.0,1.04,False
26017285700,Census Tract 2857,3877.0,0.954,0.0,3697.0,1.0,7778.0,1.05,False
26017285800,Census Tract 2858,5960.0,0.873,0.02,5204.0,121.0,7785.0,1.05,False
26017285900,Census Tract 2859,5089.0,0.896,0.003,4561.0,14.0,7776.0,1.05,False
26017286000,Census Tract 2860,2983.0,0.885,0.017,2641.0,52.0,7785.0,1.05,False
26017286100,Census Tract 2861,7156.0,0.953,0.001,6819.0,7.0,7856.0,1.06,False
26017286200,Census Tract 2862,5019.0,0.964,0.0,4837.0,0.0,7839.0,1.06,False
26017286300,Census Tract 2863,3356.0,0.92,0.005,3086.0,16.0,7886.0,1.06,False
26017286400,Census Tract 2864,2337.0,0.966,0.001,2257.0,2.0,7911.0,1.07,False
