company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,geography_factor_id,latitude,longitude,county_fips,tract_fips,block_group_fips,zip,place_name_fips,"rate_$50,000_liability",rate_basic_pip,"rate_$1,000,000_ppi",rate_$50_deductible_comprehensive,rate_$200_deductible_collision,generic_location_based_premium,location_effect
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48416,,,,,,48416,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48417,,,,,,48417,,330,1539,93,577,2353,4892,0.76
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48418,,,,,,48418,,386,1840,97,1439,2454,6216,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48419,,,,,,48419,,427,2058,104,1147,2483,6219,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48420,,,,,,48420,,478,2082,112,886,2550,6108,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48421,,,,,,48421,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48422,,,,,,48422,,427,2058,104,1147,2483,6219,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48423,,,,,,48423,,478,2082,112,886,2550,6108,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48426,,,,,,48426,,427,2058,104,1147,2483,6219,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48427,,,,,,48427,,427,2058,104,1147,2483,6219,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48428,,,,,,48428,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48429,,,,,,48429,,386,1840,97,1439,2454,6216,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48430,,,,,,48430,,478,2082,112,886,2550,6108,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48432,,,,,,48432,,427,2058,104,1147,2483,6219,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48433,,,,,,48433,,478,2082,112,886,2550,6108,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48434,,,,,,48434,,427,2058,104,1147,2483,6219,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48435,,,,,,48435,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48436,,,,,,48436,,478,2082,112,886,2550,6108,0.95
