geography_factor_id,rate_bodily_injury,rate_property_damage,rate_pip,rate_collision,rate_comprehensive,rate_um_uim,generic_location_based_premium,weighted_mean,location_effect,company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,tract_fips,latitude,place_name_fips,longitude,county_fips,block_group_fips,zip,territory,zip_code
9760,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9760,49760
9761,436.42,148.82,8924.14,799.42,140.27,48.489999999999995,10497.56,4266.0,1.2624489867093351,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9761,49761
9762,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9762,49762
9764,436.42,153.23,8924.14,799.42,140.27,48.489999999999995,10501.97,4266.0,1.2629793385274137,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9764,49764
9765,436.42,148.82,8924.14,799.42,140.27,48.489999999999995,10497.56,4266.0,1.2624489867093351,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9765,49765
9766,331.79,141.37,5935.15,741.59,111.15,42.239999999999995,7303.289999999999,2903.0,0.8783022969284691,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9766,49766
9768,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9768,49768
9769,436.42,153.23,8924.14,799.42,140.27,48.489999999999995,10501.97,4266.0,1.2629793385274137,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9769,49769
9770,436.42,153.23,8924.14,799.42,126.92,48.489999999999995,10488.619999999999,4265.0,1.2613738517311897,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9770,49770
9774,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9774,49774
9775,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9775,49775
9776,331.79,141.37,5935.15,741.59,111.15,41.489999999999995,7302.539999999999,2903.0,0.8782121010410407,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9776,49776
9777,331.79,141.37,5935.15,741.59,111.15,41.489999999999995,7302.539999999999,2903.0,0.8782121010410407,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9777,49777
