geo_id,tot_pop,latin_tot,white_tot,black_tot,aian_tot,asian_tot,nhpi_tot,other_tot,two_plus_tot
48111,42313.0,1199.0,29118.0,9851.0,191.0,771.0,13.0,60.0,1110.0
48114,19702.0,327.0,18815.0,114.0,55.0,183.0,7.0,10.0,191.0
48116,26432.0,538.0,25078.0,126.0,111.0,229.0,3.0,21.0,326.0
48117,10124.0,227.0,9520.0,180.0,23.0,36.0,2.0,6.0,130.0
48118,12552.0,241.0,11819.0,133.0,39.0,114.0,4.0,11.0,191.0
48120,8274.0,148.0,6595.0,932.0,12.0,215.0,1.0,8.0,363.0
48122,10727.0,1958.0,7146.0,1156.0,64.0,84.0,1.0,18.0,300.0
48124,31732.0,1517.0,27858.0,1175.0,73.0,509.0,8.0,37.0,555.0
48125,21273.0,1449.0,17592.0,1414.0,120.0,248.0,2.0,16.0,432.0
48126,47465.0,1204.0,41068.0,1516.0,61.0,866.0,20.0,112.0,2618.0
48127,36501.0,1263.0,30351.0,3076.0,76.0,747.0,7.0,59.0,922.0
48128,10682.0,517.0,9595.0,272.0,20.0,106.0,2.0,14.0,156.0
48130,14420.0,315.0,13445.0,128.0,37.0,247.0,13.0,25.0,210.0
48131,6764.0,145.0,6439.0,45.0,23.0,29.0,0.0,2.0,81.0
48133,5753.0,281.0,5278.0,50.0,29.0,23.0,0.0,1.0,91.0
48134,21408.0,990.0,18382.0,1031.0,81.0,449.0,5.0,8.0,462.0
48135,27665.0,903.0,24960.0,918.0,113.0,232.0,4.0,30.0,505.0
48137,4796.0,67.0,4614.0,20.0,23.0,9.0,0.0,4.0,59.0
48138,10371.0,272.0,9686.0,39.0,34.0,246.0,0.0,2.0,92.0
48139,206.0,8.0,197.0,0.0,0.0,0.0,0.0,0.0,1.0
48140,3095.0,50.0,3014.0,8.0,1.0,1.0,0.0,0.0,21.0
48141,25366.0,653.0,4959.0,18410.0,70.0,409.0,4.0,46.0,815.0
48143,32.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0
48144,9952.0,214.0,9506.0,40.0,17.0,87.0,4.0,2.0,82.0
48145,3503.0,72.0,3329.0,28.0,9.0,11.0,1.0,5.0,48.0
48146,38098.0,5664.0,29071.0,2169.0,205.0,183.0,8.0,28.0,770.0
48150,27127.0,725.0,24667.0,783.0,56.0,461.0,7.0,23.0,405.0
48152,31173.0,786.0,27322.0,1391.0,66.0,1199.0,2.0,32.0,375.0
48154,38642.0,888.0,35343.0,1090.0,82.0,781.0,2.0,31.0,425.0
48157,1436.0,43.0,1321.0,10.0,12.0,7.0,0.0,1.0,42.0
48158,7309.0,129.0,7038.0,21.0,15.0,27.0,2.0,5.0,72.0
48159,2582.0,16.0,2414.0,91.0,18.0,5.0,3.0,2.0,33.0
48160,13785.0,695.0,11414.0,1142.0,87.0,111.0,3.0,26.0,307.0
48161,26470.0,1146.0,23314.0,1214.0,49.0,163.0,6.0,10.0,568.0
48162,29344.0,1089.0,26579.0,820.0,88.0,202.0,4.0,14.0,548.0
48164,9175.0,211.0,8363.0,317.0,47.0,71.0,0.0,7.0,159.0
