tr2010ge,tot_pop_wt,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,nhopi_tot_wt,other_tot_wt,two_more_tot_wt,latin_tot_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,nhopi_pct_wt,other_pct_wt,two_more_pct_wt,latin_pct_wt
26007000100,4465.0,4285.0,1.0,5.0,7.0,0.0,3.0,155.0,9.0,0.96,0.0,0.001,0.002,0.0,0.001,0.035,0.002
26007000200,4111.0,3939.0,3.0,6.0,18.0,0.0,75.0,52.0,18.0,0.958,0.001,0.001,0.004,0.0,0.018,0.013,0.004
26007000300,3424.0,3230.0,47.0,0.0,0.0,0.0,0.0,140.0,7.0,0.943,0.014,0.0,0.0,0.0,0.0,0.041,0.002
26007000400,2870.0,2586.0,63.0,7.0,0.0,0.0,0.0,77.0,137.0,0.901,0.022,0.002,0.0,0.0,0.0,0.027,0.048
26007000500,1979.0,1733.0,31.0,12.0,0.0,0.0,0.0,88.0,115.0,0.876,0.016,0.006,0.0,0.0,0.0,0.044,0.058
26007000600,3095.0,2943.0,14.0,0.0,93.0,0.0,0.0,35.0,10.0,0.951,0.005,0.0,0.03,0.0,0.0,0.011,0.003
26007000700,3057.0,2862.0,9.0,0.0,16.0,0.0,0.0,125.0,45.0,0.936,0.003,0.0,0.005,0.0,0.0,0.041,0.015
26007000800,3217.0,3112.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.967,0.002,0.0,0.0,0.0,0.0,0.0,0.031
26007000900,2693.0,2558.0,49.0,0.0,0.0,0.0,19.0,66.0,1.0,0.95,0.018,0.0,0.0,0.0,0.007,0.025,0.0
26007990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26009960100,2819.0,2686.0,13.0,11.0,2.0,0.0,0.0,61.0,46.0,0.953,0.005,0.004,0.001,0.0,0.0,0.022,0.016
26009960200,3101.0,2885.0,0.0,47.0,9.0,0.0,9.0,93.0,58.0,0.93,0.0,0.015,0.003,0.0,0.003,0.03,0.019
26009960300,2727.0,2634.0,1.0,8.0,2.0,0.0,0.0,57.0,25.0,0.966,0.0,0.003,0.001,0.0,0.0,0.021,0.009
26009960400,3165.0,2927.0,19.0,1.0,24.0,0.0,16.0,129.0,49.0,0.925,0.006,0.0,0.008,0.0,0.005,0.041,0.015
26009960500,3403.0,3096.0,3.0,20.0,3.0,0.0,81.0,49.0,151.0,0.91,0.001,0.006,0.001,0.0,0.024,0.014,0.044
26009960600,3245.0,3064.0,1.0,0.0,28.0,0.0,0.0,64.0,88.0,0.944,0.0,0.0,0.009,0.0,0.0,0.02,0.027
26009960700,5203.0,4784.0,111.0,20.0,17.0,0.0,0.0,105.0,166.0,0.919,0.021,0.004,0.003,0.0,0.0,0.02,0.032
26009990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26011970100,2109.0,1971.0,4.0,20.0,1.0,0.0,5.0,30.0,78.0,0.935,0.002,0.009,0.0,0.0,0.002,0.014,0.037
26011970200,3217.0,3049.0,11.0,11.0,0.0,0.0,3.0,95.0,48.0,0.948,0.003,0.003,0.0,0.0,0.001,0.03,0.015
26011970300,2904.0,2702.0,46.0,20.0,0.0,0.0,0.0,35.0,101.0,0.93,0.016,0.007,0.0,0.0,0.0,0.012,0.035
26011970400,2774.0,2622.0,15.0,3.0,0.0,0.0,11.0,88.0,35.0,0.945,0.005,0.001,0.0,0.0,0.004,0.032,0.013
26011970500,4027.0,3702.0,8.0,43.0,18.0,0.0,2.0,178.0,76.0,0.919,0.002,0.011,0.004,0.0,0.0,0.044,0.019
26011990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26011990100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26013000100,4113.0,3372.0,33.0,393.0,26.0,0.0,0.0,229.0,60.0,0.82,0.008,0.096,0.006,0.0,0.0,0.056,0.015
26013000200,4132.0,2574.0,606.0,523.0,19.0,11.0,12.0,296.0,91.0,0.623,0.147,0.127,0.005,0.003,0.003,0.072,0.022
26013990100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26015010100,5735.0,5420.0,0.0,17.0,9.0,0.0,0.0,44.0,245.0,0.945,0.0,0.003,0.002,0.0,0.0,0.008,0.043
