geo_id,geo_name,total_pop,latin_pct,white_pct,black_pct,aian_pct,asian_pct,nhpi_pct,other_pct,two_plus_pct,total_pop_race,latin_tot,white_tot,black_tot,aian_tot,asian_tot,nhpi_tot,other_tot,two_plus_tot
0500000US26071,"Iron County, Michigan",11585,2.3,93.1,0.7,1.1,0.6,0.0,0.3,1.9,11585,261,10786,85,123,71,0,38,221
0500000US26073,"Isabella County, Michigan",64938,4.4,84.3,2.4,2.6,1.5,0.0,0.4,4.4,64938,2840,54720,1584,1709,956,28,244,2857
0500000US26075,"Jackson County, Michigan",160637,3.8,83.0,7.8,0.2,0.8,0.0,0.2,4.2,160637,6116,133342,12501,332,1280,20,284,6762
0500000US26077,"Kalamazoo County, Michigan",261426,5.4,75.9,10.6,0.1,2.4,0.1,0.3,5.1,261426,14243,198298,27756,385,6317,146,897,13384
0500000US26079,"Kalkaska County, Michigan",17934,2.6,92.4,0.9,0.8,0.6,0.0,0.0,2.7,17934,467,16567,167,143,105,0,3,482
0500000US26081,"Kent County, Michigan",657321,11.1,71.9,9.2,0.2,3.1,0.0,0.4,4.1,657321,72840,472300,60789,1304,20438,148,2606,26896
0500000US26083,"Keweenaw County, Michigan",2088,1.6,95.8,0.0,0.3,0.0,0.0,0.0,2.3,2088,33,2001,0,7,0,0,0,47
0500000US26085,"Lake County, Michigan",12285,3.1,81.0,9.9,0.7,0.3,0.0,0.8,4.3,12285,376,9949,1212,81,38,3,94,532
0500000US26087,"Lapeer County, Michigan",88687,5.0,90.4,1.1,0.1,0.4,0.0,0.3,2.7,88687,4450,80153,957,109,327,3,283,2405
0500000US26089,"Leelanau County, Michigan",22426,4.4,89.6,0.4,2.6,0.6,0.1,0.3,2.1,22426,978,20088,79,593,132,17,63,476
0500000US26091,"Lenawee County, Michigan",99263,8.5,85.5,2.1,0.1,0.3,0.0,0.1,3.3,99263,8464,84864,2060,110,306,40,127,3292
0500000US26093,"Livingston County, Michigan",194302,2.7,93.3,0.6,0.2,0.8,0.0,0.2,2.2,194302,5224,181205,1108,379,1627,22,383,4354
0500000US26095,"Luce County, Michigan",5442,1.6,80.5,9.7,3.6,0.2,0.2,0.0,4.2,5442,88,4379,529,197,10,10,0,229
0500000US26097,"Mackinac County, Michigan",10843,2.3,71.9,3.8,14.6,0.8,0.1,0.3,6.2,10843,252,7793,408,1582,89,14,29,676
0500000US26099,"Macomb County, Michigan",878453,2.9,76.3,12.3,0.1,4.5,0.1,0.2,3.6,878453,25208,669918,107772,1306,39934,448,2047,31820
0500000US26101,"Manistee County, Michigan",25058,3.6,87.8,3.2,1.0,0.4,0.0,0.1,4.0,25058,901,21993,790,261,104,3,15,991
0500000US26103,"Marquette County, Michigan",66376,1.7,91.4,1.6,1.1,0.6,0.0,0.2,3.4,66376,1126,60688,1043,738,427,18,111,2225
0500000US26105,"Mason County, Michigan",29178,4.8,90.2,1.1,0.4,0.5,0.0,0.1,2.8,29178,1399,26322,323,126,143,0,37,828
0500000US26107,"Mecosta County, Michigan",40128,2.7,90.2,2.5,0.7,0.9,0.0,0.1,2.9,40128,1064,36215,1003,267,372,0,39,1168
0500000US26109,"Menominee County, Michigan",23433,2.1,92.1,0.5,2.1,0.4,0.0,0.0,2.7,23433,499,21592,120,498,89,0,7,628
0500000US26111,"Midland County, Michigan",83503,3.1,90.1,1.5,0.4,2.1,0.0,0.2,2.5,83503,2616,75271,1253,296,1772,0,197,2098
0500000US26113,"Missaukee County, Michigan",15089,3.2,92.1,0.5,0.2,0.4,0.0,0.2,3.4,15089,489,13894,73,34,59,0,31,509
0500000US26115,"Monroe County, Michigan",154823,4.0,89.9,2.1,0.1,0.4,0.0,0.2,3.4,154823,6134,139170,3274,120,569,12,304,5240
0500000US26117,"Montcalm County, Michigan",66901,3.7,88.6,3.2,0.3,0.2,0.0,0.5,3.5,66901,2476,59266,2121,176,152,26,343,2341
0500000US26119,"Montmorency County, Michigan",9261,1.5,94.7,0.3,0.7,0.2,0.0,0.0,2.6,9261,138,8768,27,61,22,0,4,241
0500000US26121,"Muskegon County, Michigan",175947,6.1,75.3,13.0,0.6,0.7,0.0,0.1,4.2,175947,10739,132454,22958,1087,1181,40,120,7368
0500000US26123,"Newaygo County, Michigan",50130,6.1,88.7,0.9,0.5,0.3,0.0,0.5,3.0,50130,3048,44470,438,230,163,13,266,1502
0500000US26125,"Oakland County, Michigan",1272264,4.5,69.9,13.0,0.1,8.1,0.0,0.4,3.9,1272264,57851,889221,166018,1688,102650,366,5272,49198
0500000US26127,"Oceana County, Michigan",26707,15.4,80.5,0.9,0.6,0.1,0.0,0.1,2.4,26707,4111,21509,243,149,25,3,31,636
0500000US26129,"Ogemaw County, Michigan",20820,2.3,93.7,0.5,0.3,0.8,0.0,0.1,2.4,20820,469,19507,101,66,164,4,17,492
0500000US26131,"Ontonagon County, Michigan",5862,1.6,93.9,0.9,0.3,0.5,0.0,0.1,2.8,5862,92,5503,52,17,31,0,5,162
0500000US26133,"Osceola County, Michigan",23022,2.3,92.5,0.9,0.2,0.3,0.0,0.5,3.2,23022,537,21299,217,52,79,0,105,733
0500000US26135,"Oscoda County, Michigan",8264,1.9,94.1,0.4,0.5,0.1,0.0,0.1,3.0,8264,159,7777,31,38,6,0,6,247
0500000US26137,"Otsego County, Michigan",25221,1.9,94.0,0.8,0.3,0.5,0.0,0.0,2.6,25221,467,23699,199,78,121,2,8,647
0500000US26139,"Ottawa County, Michigan",296183,10.2,82.6,1.6,0.1,2.6,0.0,0.4,2.5,296183,30237,244537,4651,395,7724,61,1188,7390
0500000US26141,"Presque Isle County, Michigan",13083,1.6,94.8,0.3,0.2,0.4,0.0,0.2,2.4,13083,214,12406,42,23,53,0,27,318
0500000US26143,"Roscommon County, Michigan",23556,2.2,92.7,0.4,0.1,0.5,0.0,0.1,4.0,23556,516,21842,94,33,119,0,21,931
0500000US26145,"Saginaw County, Michigan",189821,9.0,68.3,18.4,0.2,1.2,0.0,0.1,2.8,189821,17159,129622,34953,336,2266,53,207,5225
0500000US26147,"St. Clair County, Michigan",160257,3.6,90.3,2.3,0.1,0.4,0.0,0.2,3.1,160257,5832,144743,3625,181,692,22,266,4896
0500000US26149,"St. Joseph County, Michigan",60887,8.6,85.2,2.1,0.0,0.5,0.0,0.2,3.3,60887,5233,51896,1309,24,323,0,92,2010
0500000US26151,"Sanilac County, Michigan",40759,4.1,93.0,0.4,0.1,0.2,0.0,0.1,2.1,40759,1653,37903,173,46,81,0,58,845
0500000US26153,"Schoolcraft County, Michigan",8062,1.4,84.8,0.6,5.6,0.4,0.0,0.0,7.2,8062,114,6834,45,453,35,0,2,579
0500000US26155,"Shiawassee County, Michigan",68124,3.0,93.3,0.7,0.2,0.3,0.0,0.2,2.3,68124,2077,63549,449,127,198,0,156,1568
0500000US26157,"Tuscola County, Michigan",53218,3.8,92.0,1.0,0.3,0.5,0.0,0.1,2.3,53218,2020,48939,558,143,258,0,78,1222
0500000US26159,"Van Buren County, Michigan",75636,11.9,79.8,3.4,0.3,0.6,0.0,0.2,3.9,75636,8974,60368,2548,213,472,0,128,2933
0500000US26161,"Washtenaw County, Michigan",370231,5.1,68.6,11.4,0.2,9.1,0.0,0.4,5.1,370231,18908,254046,42224,664,33872,121,1609,18787
0500000US26163,"Wayne County, Michigan",1781641,6.3,48.7,37.4,0.2,3.4,0.0,0.4,3.6,1781641,112699,866868,666184,3226,61215,314,7876,63259
0500000US26165,"Wexford County, Michigan",33766,2.3,92.0,0.9,0.3,0.5,0.0,0.0,3.9,33766,778,31076,289,115,154,15,8,1331
