LOCATION ZONE,Bodily Injury,Property Damage,PIP,NON MED,Collision,Comprehensive,UM - Single Car,UM - Multi Car,UIM - Single Car,UIM - Multi Car
N4331250W08588250,377.18,78.71,"2,502.57",258.98,291.22,35.42,19.68,19.68,26.19,26.19
N4331250W08586750,377.18,78.71,"2,502.57",258.98,291.22,35.42,19.68,19.68,26.19,26.19
N4331250W08585250,377.18,78.71,"2,502.57",258.98,291.22,35.42,19.68,19.68,26.19,26.19
N4331250W08583750,377.18,78.71,"2,502.57",258.98,291.22,35.42,19.68,19.68,26.19,26.19
N4331250W08582250,377.18,78.71,"2,502.57",258.98,291.22,35.42,19.68,19.68,26.19,26.19
N4331250W08580750,377.18,78.71,"2,502.57",258.98,291.22,35.42,19.68,19.68,26.19,26.19
N4331250W08579250,377.18,78.71,"2,502.57",258.98,291.22,35.42,19.68,19.68,26.19,26.19
N4331250W08577750,377.18,78.71,"2,502.57",258.98,291.22,35.42,19.68,19.68,26.19,26.19
N4331250W08576250,377.18,78.71,"2,502.57",258.98,291.22,35.42,19.68,19.68,26.19,26.19
N4331250W08574750,378.06,78.85,"2,516.34",260.40,291.32,35.47,19.68,19.68,26.19,26.19
N4331250W08573250,386.15,80.13,"2,642.71",273.48,292.30,35.90,19.68,19.68,26.19,26.19
N4331250W08571750,380.35,79.21,"2,552.07",264.10,291.60,35.59,19.68,19.68,26.19,26.19
N4331250W08570250,381.82,79.45,"2,575.10",266.48,291.78,35.67,19.68,19.68,26.19,26.19
N4331250W08568750,377.20,78.77,"2,502.69",258.99,291.17,35.50,19.68,19.68,26.19,26.19
N4331250W08567250,379.46,84.34,"2,513.69",260.13,286.76,43.38,19.68,19.68,26.19,26.19
N4331250W08565750,379.95,85.54,"2,516.05",260.37,285.81,45.07,19.68,19.68,26.19,26.19
N4331250W08564250,379.96,85.55,"2,516.08",260.38,285.80,45.09,19.68,19.68,26.19,26.19
N4331250W08562750,379.96,85.55,"2,516.08",260.38,285.80,45.09,19.68,19.68,26.19,26.19
N4331250W08561250,379.96,85.55,"2,516.08",260.38,285.80,45.09,19.68,19.68,26.19,26.19
N4331250W08559750,379.96,85.55,"2,516.08",260.38,285.80,45.09,19.68,19.68,26.19,26.19
N4331250W08558250,379.96,85.55,"2,516.08",260.38,285.80,45.09,19.68,19.68,26.19,26.19
N4331250W08556750,380.18,85.92,"2,513.12",260.07,285.75,44.89,19.68,19.68,26.19,26.19
N4331250W08555250,381.16,87.53,"2,499.88",258.70,285.54,44.01,19.68,19.68,26.19,26.19
N4331250W08553750,380.99,87.26,"2,502.11",258.93,285.58,44.16,19.68,19.68,26.19,26.19
N4331250W08552250,379.96,85.55,"2,516.08",260.38,285.80,45.09,19.68,19.68,26.19,26.19
N4331250W08550750,382.72,90.10,"2,478.74",256.51,285.20,42.59,19.68,19.68,26.19,26.19
N4331250W08549250,383.29,91.05,"2,470.96",255.71,285.07,42.07,19.68,19.68,26.19,26.19
N4331250W08547750,384.20,92.55,"2,458.67",254.44,284.87,41.25,19.68,19.68,26.19,26.19
N4331250W08546250,384.44,92.94,"2,455.43",254.10,284.82,41.03,19.68,19.68,26.19,26.19
N4331250W08544750,384.44,92.94,"2,455.43",254.10,284.82,41.03,19.68,19.68,26.19,26.19
N4331250W08543250,384.44,92.94,"2,455.43",254.10,284.82,41.03,19.68,19.68,26.19,26.19
