LOCATION ZONE,Bodily Injury,Property Damage,PIP,NON MED,Collision,Comprehensive,UM - Single Car,UM - Multi Car,UIM - Single Car,UIM - Multi Car
N4331250W08288250,448.47,70.12,"3,900.78",403.67,273.68,33.38,19.68,19.68,26.19,26.19
N4331250W08286750,446.10,67.73,"3,906.47",404.26,282.23,34.59,19.68,19.68,26.19,26.19
N4331250W08285250,441.87,63.43,"3,916.68",405.32,297.57,36.77,19.68,19.68,26.19,26.19
N4331250W08283750,437.11,58.61,"3,928.15",406.51,314.81,39.22,19.68,19.68,26.19,26.19
N4331250W08282250,437.11,58.61,"3,928.15",406.51,314.81,39.22,19.68,19.68,26.19,26.19
N4331250W08280750,436.23,58.61,"3,927.20",406.41,313.70,39.25,19.68,19.68,26.19,26.19
N4331250W08279250,418.23,58.51,"3,907.74",404.39,290.86,39.69,19.68,19.68,26.19,26.19
N4331250W08277750,403.19,58.39,"3,900.95",403.69,270.27,39.01,19.68,19.68,26.19,26.19
N4331250W08276250,414.44,58.12,"3,994.41",413.36,271.49,29.66,19.68,19.68,26.19,26.19
N4331250W08274750,415.04,58.10,"3,999.42",413.88,271.56,29.16,19.68,19.68,26.19,26.19
